OrderID,Week,Order_Date,Customer_Name,Customer_Age,Country,City,Product,Units_Sold,Price_INR,Marketing_Spend_INR,Discount_Percentage,Payment_Method,Shipping_Status,Delivery_Time_Days,Revenue_INR,Discount_Amount_INR,Final_Amount_INR
1,7,2023-01-01 00:00:00,Aditi Verma,33,Japan,Chennai,DSLR Camera,21,32819,29798,13,Cash on Delivery,Shipped,14,689199,89596.0,599603.0
2,20,2023-01-01 01:00:00,Yuki Nakamura,59,UAE,Dubai,Wireless Mouse,16,48779,28466,21,UPI,Returned,4,780464,163897.0,616567.0
3,15,2023-01-01 02:00:00,Suresh Kumar,47,UK,Hyderabad,Drone,44,66584,28516,10,Net Banking,Returned,13,2929696,292970.0,2636726.0
4,11,2023-01-01 03:00:00,Arjun Reddy,33,Germany,Dubai,Earbuds,40,20950,26705,9,Cash on Delivery,Shipped,12,838000,75420.0,762580.0
5,8,2023-01-01 04:00:00,Yuki Nakamura,29,UK,Chennai,Power Bank,26,16173,26070,26,Net Banking,Pending,9,420498,109329.0,311169.0
6,7,2023-01-01 05:00:00,Haruto Tanaka,34,Italy,Chennai,Tablet,16,59032,21682,29,Debit Card,Delivered,10,944512,273908.0,670604.0
7,19,2023-01-01 06:00:00,Haruto Tanaka,33,USA,Kolkata,Smartwatch,28,29036,7105,16,Credit Card,Shipped,2,813008,130081.0,682927.0
8,11,2023-01-01 07:00:00,Rahul Sharma,29,UK,Dubai,Fitness Band,1,72356,10751,3,UPI,Shipped,5,72356,2171.0,70185.0
9,11,2023-01-01 08:00:00,Aarav Patel,25,UAE,Berlin,Tablet,36,15292,16543,23,Debit Card,Shipped,14,550512,126618.0,423894.0
10,4,2023-01-01 09:00:00,Rahul Sharma,37,Japan,Dubai,Smartphone,10,4052,13264,14,Debit Card,Pending,4,40520,5673.0,34847.0
11,8,2023-01-01 10:00:00,Emma Brown,20,USA,Paris,Router,43,45377,3486,25,Cash on Delivery,Returned,9,1951211,487803.0,1463408.0
12,3,2023-01-01 11:00:00,Liam Walker,33,Germany,Kolkata,Power Bank,17,68838,900,15,Net Banking,Pending,4,1170246,175537.0,994709.0
13,2,2023-01-01 12:00:00,James Smith,47,India,Tokyo,Bluetooth Speaker,23,68819,19739,20,UPI,Shipped,8,1582837,316567.0,1266270.0
14,12,2023-01-01 13:00:00,Rahul Sharma,40,China,Tokyo,Router,7,16620,10916,12,Debit Card,Pending,8,116340,13961.0,102379.0
15,6,2023-01-01 14:00:00,Chen Wei,45,USA,Paris,Smartphone,44,31461,3912,8,Cash on Delivery,Pending,6,1384284,110743.0,1273541.0
16,2,2023-01-01 15:00:00,Yuki Nakamura,57,Singapore,London,Smartphone,7,21750,16940,10,UPI,Shipped,6,152250,15225.0,137025.0
17,1,2023-01-01 16:00:00,Diya Iyer,22,Italy,Tokyo,Laptop,44,10472,24906,10,Net Banking,Pending,11,460768,46077.0,414691.0
18,12,2023-01-01 17:00:00,Sophia Davis,37,Japan,Paris,Drone,15,70263,2375,5,Debit Card,Delivered,8,1053945,52697.0,1001248.0
19,12,2023-01-01 18:00:00,Suresh Kumar,57,Italy,Delhi,Smartwatch,34,58602,21427,0,Debit Card,Pending,12,1992468,0.0,1992468.0
20,17,2023-01-01 19:00:00,Sophia Davis,18,USA,Berlin,Earbuds,46,26523,4798,21,Debit Card,Pending,13,1220058,256212.0,963846.0
21,10,2023-01-01 20:00:00,Chen Wei,47,USA,Dubai,DSLR Camera,45,31766,4268,5,UPI,Returned,12,1429470,71474.0,1357996.0
22,16,2023-01-01 21:00:00,Arjun Reddy,38,Singapore,Berlin,Drone,4,67060,6252,12,UPI,Returned,10,268240,32189.0,236051.0
23,15,2023-01-01 22:00:00,Rahul Sharma,37,Germany,Paris,Tablet,14,10079,21717,21,UPI,Shipped,9,141106,29632.0,111474.0
24,15,2023-01-01 23:00:00,James Smith,23,Italy,Mumbai,Smartphone,14,9399,12989,23,UPI,Shipped,5,131586,30265.0,101321.0
25,19,2023-01-02 00:00:00,Arjun Reddy,39,USA,Dubai,Tablet,16,61726,1853,21,Cash on Delivery,Returned,11,987616,207399.0,780217.0
26,12,2023-01-02 01:00:00,Emily Johnson,35,China,Delhi,Keyboard,7,17532,27486,4,Credit Card,Delivered,1,122724,4909.0,117815.0
27,20,2023-01-02 02:00:00,Emily Johnson,25,UK,Delhi,Tablet,32,44162,21871,14,Cash on Delivery,Pending,1,1413184,197846.0,1215338.0
28,3,2023-01-02 03:00:00,Sophia Davis,56,Germany,Berlin,Bluetooth Speaker,19,4749,7097,26,Debit Card,Delivered,2,90231,23460.0,66771.0
29,5,2023-01-02 04:00:00,Liam Walker,49,China,Bangalore,Wireless Mouse,2,12353,15191,17,Cash on Delivery,Delivered,10,24706,4200.0,20506.0
30,19,2023-01-02 05:00:00,Aditi Verma,50,Germany,Dubai,Keyboard,10,29477,4811,19,Net Banking,Returned,10,294770,56006.0,238764.0
31,7,2023-01-02 06:00:00,Liam Walker,33,China,New York,Keyboard,17,25570,15807,13,UPI,Shipped,5,434690,56510.0,378180.0
32,9,2023-01-02 07:00:00,Yuki Nakamura,29,UAE,Delhi,Smartwatch,37,12437,11294,14,Net Banking,Pending,4,460169,64424.0,395745.0
33,7,2023-01-02 08:00:00,Chen Wei,55,Japan,Mumbai,Drone,12,39104,3434,25,Net Banking,Shipped,1,469248,117312.0,351936.0
34,18,2023-01-02 09:00:00,Haruto Tanaka,51,China,Kolkata,Smartwatch,6,64370,16906,4,Debit Card,Delivered,4,386220,15449.0,370771.0
35,4,2023-01-02 10:00:00,Emma Brown,31,Australia,London,Smart TV,22,5551,10894,25,UPI,Delivered,4,122122,30530.0,91592.0
36,14,2023-01-02 11:00:00,Liam Walker,53,China,Bangalore,Gaming Console,32,69359,18093,3,Net Banking,Shipped,10,2219488,66585.0,2152903.0
37,18,2023-01-02 12:00:00,Aarav Patel,50,India,Kolkata,Smartwatch,41,55880,27372,1,Debit Card,Shipped,4,2291080,22911.0,2268169.0
38,9,2023-01-02 13:00:00,Emma Brown,40,India,Bangalore,Tablet,20,13916,9440,6,UPI,Returned,1,278320,16699.0,261621.0
39,2,2023-01-02 14:00:00,Chen Wei,19,France,Mumbai,Earbuds,1,42445,17688,9,Credit Card,Shipped,9,42445,3820.0,38625.0
40,20,2023-01-02 15:00:00,Emma Brown,58,Australia,Berlin,Tablet,47,48636,8825,15,Debit Card,Shipped,14,2285892,342884.0,1943008.0
41,15,2023-01-02 16:00:00,James Smith,38,Australia,Chennai,Earbuds,6,74927,21300,9,Cash on Delivery,Returned,3,449562,40461.0,409101.0
42,7,2023-01-02 17:00:00,Rahul Sharma,19,UK,Dubai,Wireless Mouse,19,79194,11129,17,UPI,Shipped,13,1504686,255797.0,1248889.0
43,12,2023-01-02 18:00:00,James Smith,44,Australia,Paris,Drone,18,30685,25509,16,Net Banking,Delivered,4,552330,88373.0,463957.0
